                         Name           Dual         Slack          Lower          Upper
73          c_e_injection(4)_      -0.000000      0.000000  -1.894317e-01   2.534568e+00
74          c_e_injection(5)_      -0.000000      0.000000  -1.894317e-01   2.534568e+00
75          c_e_injection(6)_      -0.000000      0.000000  -1.894317e-01   2.534568e+00
76          c_e_injection(7)_      -0.000000      0.000000  -1.894317e-01   2.534568e+00
77          c_e_injection(8)_   -8517.066255      0.000000  -4.934530e-02   6.573059e-01
78          c_e_injection(9)_   -8517.066255      0.000000  -4.934530e-02   6.573059e-01
79         c_e_injection(10)_   -6811.152525      0.000000  -5.792440e-02   7.750198e-01
80         c_e_injection(11)_   -5295.363704      0.000000  -6.850757e-02   9.166210e-01
81         c_e_injection(12)_   -2528.466494      0.000000  -1.027944e-01   1.375373e+00
82         c_e_injection(13)_    -306.955108      0.000000  -1.718485e-01   2.299307e+00
83         c_e_injection(14)_      -0.000000      0.000000  -1.894317e-01   2.534568e+00
84         c_e_injection(15)_    1095.731694      0.000000  -2.984323e-01   3.992980e+00
85         c_e_injection(16)_    3000.000000      0.000000  -1.866026e+00   1.374997e+01
86         c_e_injection(17)_   -5294.531350      0.000000  -6.850757e-02   9.166210e-01
87         c_e_injection(18)_   -5294.531350      0.000000  -6.850757e-02   9.166210e-01
88         c_e_injection(19)_    2568.507866      0.000000  -9.162041e-01   1.108103e+00
89         c_e_injection(20)_    3000.000000      0.000000  -8.685420e-01   1.050458e+00
90      c_l_contractual_1(1)_       0.000000     -0.189432 -1.000000e+100   9.059432e+00
91      c_l_contractual_1(2)_       0.000000     -8.400000 -1.000000e+100   8.400000e+00
92      c_l_contractual_1(3)_    3000.000000      0.000000  -6.452568e+00  -3.728568e+00
93      c_l_contractual_1(4)_       0.000000      0.000000  -2.534568e+00   0.000000e+00
94      c_l_contractual_1(5)_       0.000000     -4.800000 -1.000000e+100   4.800000e+00
95      c_l_contractual_1(6)_    3000.000000      0.000000  -6.568568e+00  -3.844568e+00
96      c_l_contractual_1(7)_    3000.000000      0.000000  -7.790568e+00  -5.066568e+00
97      c_l_contractual_1(8)_    8517.066255      0.000000   1.968669e+01   2.039335e+01
98      c_l_contractual_1(9)_    8517.066255      0.000000  -6.573059e-01   0.000000e+00
99     c_l_contractual_1(10)_    9811.152525      0.000000  -7.140020e+00  -6.307076e+00
100    c_l_contractual_1(11)_    5295.363704      0.000000  -9.166210e-01   0.000000e+00
101    c_l_contractual_1(12)_    5528.466494      0.000000  -3.495373e+00  -2.017206e+00
102    c_l_contractual_1(13)_     306.955108      0.000000  -2.299307e+00   1.718485e-01
103    c_l_contractual_1(14)_       0.000000     -0.960000 -1.000000e+100   9.600000e-01
104    c_l_contractual_1(15)_    1904.268306      0.000000  -1.084098e+01  -6.549568e+00
105    c_l_contractual_1(16)_       0.000000     -1.866026 -1.000000e+100  -1.374997e+01
106    c_l_contractual_1(17)_    5294.531350      0.000000  -9.166210e-01   0.000000e+00
107    c_l_contractual_1(18)_    5294.531350      0.000000  -9.166210e-01   0.000000e+00
108    c_l_contractual_1(19)_     431.492134      0.000000  -1.330103e+00  -0.000000e+00
109    c_l_contractual_1(20)_       0.000000     -0.868542 -1.000000e+100  -1.050458e+00
110     c_u_contractual_2(1)_       0.000000      2.534568   9.059432e+00  1.000000e+100
111     c_u_contractual_2(2)_      -0.000000      0.000000   5.865432e+00   8.589432e+00
112     c_u_contractual_2(3)_       0.000000      3.918000  -3.918000e+00  1.000000e+100
113     c_u_contractual_2(4)_       0.000000      0.000000   0.000000e+00  1.000000e+100
114     c_u_contractual_2(5)_      -0.000000      0.000000   2.265432e+00   4.989432e+00
115     c_u_contractual_2(6)_       0.000000      4.034000  -4.034000e+00  1.000000e+100
116     c_u_contractual_2(7)_       0.000000      5.256000  -5.256000e+00  1.000000e+100
117     c_u_contractual_2(8)_       0.000000      1.668000   2.034400e+01  1.000000e+100
118     c_u_contractual_2(9)_       0.000000      0.000000   0.000000e+00  1.000000e+100
119    c_u_contractual_2(10)_       0.000000      6.365000  -6.365000e+00  1.000000e+100
120    c_u_contractual_2(11)_       0.000000      0.000000   0.000000e+00  1.000000e+100
121    c_u_contractual_2(12)_       0.000000      2.120000  -2.120000e+00  1.000000e+100
122    c_u_contractual_2(13)_       0.000000      1.200000   0.000000e+00  1.000000e+100
123    c_u_contractual_2(14)_      -0.000000      0.000000   0.000000e+00   1.149432e+00
124    c_u_contractual_2(15)_       0.000000      6.848000  -6.848000e+00  1.000000e+100
125    c_u_contractual_2(16)_       0.000000     13.749974  -1.374997e+01  1.000000e+100
126    c_u_contractual_2(17)_       0.000000      0.000000   0.000000e+00  1.000000e+100
127    c_u_contractual_2(18)_       0.000000      0.000000   0.000000e+00  1.000000e+100
128    c_u_contractual_2(19)_       0.000000      0.222000  -2.220000e-01  1.000000e+100
129    c_u_contractual_2(20)_       0.000000      1.050458  -1.050458e+00  1.000000e+100
130      c_e_ONE_VAR_CONSTANT  138894.000000      0.000000   0.000000e+00  1.000000e+100
